plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_site,pl_comp10_30,pl_area,pl_plotid,smpl_site,smpl_comp10_30,smpl_area,smpl_plotid,smpl_sampleid,Is this area forest?,"If area is partially forest, estimate percentage (10, 15, 20)",What is your confidence level in your answer?,Notes on why this area may have been a site of disagreement or is mislabeled?,Would this plot be a good candidate example for any of the following data issues?,Which of the following data issues describes it?,Indicate other issues
140846480,568842999,124.8369919356388,6.038664424497433,,,,,,,POINT(124.836991935639 6.03866442449743),SOUTH COTABATO,Forest in TCC10,48.9813,0,SOUTH COTABATO,Forest in TCC10,48.9813,0,1,,,,,,,
140846481,568843000,124.99141837867677,6.096206784183008,,,,,,,POINT(124.991418378677 6.09620678418301),SOUTH COTABATO,Forest in TCC10,138.9183,1,SOUTH COTABATO,Forest in TCC10,138.9183,1,1,,,,,,,
140846482,568843038,125.05645786441914,6.328721889805695,,,,,,,POINT(125.056457864419 6.32872188980569),SOUTH COTABATO,Forest in TCC30,2.0658,39,SOUTH COTABATO,Forest in TCC30,2.0658,39,1,,,,,,,
140846483,568843001,124.9600328029219,6.143954001243458,,,,,,,POINT(124.960032802922 6.14395400124346),SOUTH COTABATO,Forest in TCC10,48.3666,2,SOUTH COTABATO,Forest in TCC10,48.3666,2,1,,,,,,,
140846484,568843002,124.96230630025046,6.153889500338462,,,,,,,POINT(124.96230630025 6.15388950033846),SOUTH COTABATO,Forest in TCC10,47.2945,3,SOUTH COTABATO,Forest in TCC10,47.2945,3,1,,,,,,,
140846485,568843003,124.881898863869,6.215727075457153,,,,,,,POINT(124.881898863869 6.21572707545715),SOUTH COTABATO,Forest in TCC10,58.6085,4,SOUTH COTABATO,Forest in TCC10,58.6085,4,1,,,,,,,
140846486,568843039,125.0611384199945,6.335569112006055,,,,,,,POINT(125.061138419995 6.33556911200605),SOUTH COTABATO,Forest in TCC30,0.7651,40,SOUTH COTABATO,Forest in TCC30,0.7651,40,1,,,,,,,
140846487,568843040,125.02960432910078,6.361103202918446,,,,,,,POINT(125.029604329101 6.36110320291845),SOUTH COTABATO,Forest in TCC30,0.8416,41,SOUTH COTABATO,Forest in TCC30,0.8416,41,1,,,,,,,
140846488,568843041,125.00698842004701,6.364469112053742,,,,,,,POINT(125.006988420047 6.36446911205374),SOUTH COTABATO,Forest in TCC30,0.765,42,SOUTH COTABATO,Forest in TCC30,0.765,42,1,,,,,,,
140846489,568843004,124.85905487938447,6.229257130223103,,,,,,,POINT(124.859054879384 6.2292571302231),SOUTH COTABATO,Forest in TCC10,46.1346,5,SOUTH COTABATO,Forest in TCC10,46.1346,5,1,,,,,,,
140846490,568843005,124.95339132699274,6.270027057762546,,,,,,,POINT(124.953391326993 6.27002705776255),SOUTH COTABATO,Forest in TCC10,49.3496,6,SOUTH COTABATO,Forest in TCC10,49.3496,6,1,,,,,,,
140846491,568843006,124.47578332049245,6.301228937868806,,,,,,,POINT(124.475783320492 6.30122893786881),SOUTH COTABATO,Forest in TCC10,46.1105,7,SOUTH COTABATO,Forest in TCC10,46.1105,7,1,,,,,,,
140846492,568843007,124.4849513882752,6.296148166665335,,,,,,,POINT(124.484951388275 6.29614816666534),SOUTH COTABATO,Forest in TCC10,173.5102,8,SOUTH COTABATO,Forest in TCC10,173.5102,8,1,,,,,,,
140846493,568843016,124.5940366235894,6.364250998227991,,,,,,,POINT(124.594036623589 6.36425099822799),SOUTH COTABATO,Forest in TCC10,25.5403,17,SOUTH COTABATO,Forest in TCC10,25.5403,17,1,,,,,,,
140846494,568843008,124.64150992758697,6.312236603263258,,,,,,,POINT(124.641509927587 6.31223660326326),SOUTH COTABATO,Forest in TCC10,65.6954,9,SOUTH COTABATO,Forest in TCC10,65.6954,9,1,,,,,,,
140846495,568843009,124.60895092000165,6.317871698220277,,,,,,,POINT(124.608950920002 6.31787169822028),SOUTH COTABATO,Forest in TCC10,44.3559,10,SOUTH COTABATO,Forest in TCC10,44.3559,10,1,,,,,,,
140846496,568843017,124.9299273544264,6.3826933668435615,,,,,,,POINT(124.929927354426 6.38269336684356),SOUTH COTABATO,Forest in TCC10,51.3265,18,SOUTH COTABATO,Forest in TCC10,51.3265,18,1,,,,,,,
140846497,568843010,124.65335733649503,6.319823552494967,,,,,,,POINT(124.653357336495 6.31982355249497),SOUTH COTABATO,Forest in TCC10,86.1151,11,SOUTH COTABATO,Forest in TCC10,86.1151,11,1,,,,,,,
140846498,568843011,124.91022348942259,6.324605322333485,,,,,,,POINT(124.910223489423 6.32460532233349),SOUTH COTABATO,Forest in TCC10,77.1113,12,SOUTH COTABATO,Forest in TCC10,77.1113,12,1,,,,,,,
140846499,568843012,124.61271650835658,6.329486332486686,,,,,,,POINT(124.612716508357 6.32948633248669),SOUTH COTABATO,Forest in TCC10,97.8106,13,SOUTH COTABATO,Forest in TCC10,97.8106,13,1,,,,,,,
140846500,568843015,124.90505483838194,6.345051978510943,,,,,,,POINT(124.905054838382 6.34505197851094),SOUTH COTABATO,Forest in TCC10,64.18,16,SOUTH COTABATO,Forest in TCC10,64.18,16,1,,,,,,,
140846501,568843013,124.594459137136,6.331858786618014,,,,,,,POINT(124.594459137136 6.33185878661801),SOUTH COTABATO,Forest in TCC10,115.1677,14,SOUTH COTABATO,Forest in TCC10,115.1677,14,1,,,,,,,
140846502,568843014,124.62251148200652,6.337708231609619,,,,,,,POINT(124.622511482007 6.33770823160962),SOUTH COTABATO,Forest in TCC10,69.0558,15,SOUTH COTABATO,Forest in TCC10,69.0558,15,1,,,,,,,
140846503,568843018,124.85821925832084,6.383201597058028,,,,,,,POINT(124.858219258321 6.38320159705803),SOUTH COTABATO,Forest in TCC10,76.6392,19,SOUTH COTABATO,Forest in TCC10,76.6392,19,1,,,,,,,
140846504,568843023,124.97482328974196,6.537213651080757,,,,,,,POINT(124.974823289742 6.53721365108076),SOUTH COTABATO,Forest in TCC10,76.3209,24,SOUTH COTABATO,Forest in TCC10,76.3209,24,1,,,,,,,
140846505,568843019,124.87194104158738,6.396057333893177,,,,,,,POINT(124.871941041587 6.39605733389318),SOUTH COTABATO,Forest in TCC10,100.655,20,SOUTH COTABATO,Forest in TCC10,100.655,20,1,,,,,,,
140846506,568843020,124.83122480478295,6.432120210535775,,,,,,,POINT(124.831224804783 6.43212021053577),SOUTH COTABATO,Forest in TCC10,57.434,21,SOUTH COTABATO,Forest in TCC10,57.434,21,1,,,,,,,
140846507,568843021,124.84676342001089,6.447817375912281,,,,,,,POINT(124.846763420011 6.44781737591228),SOUTH COTABATO,Forest in TCC10,121.1376,22,SOUTH COTABATO,Forest in TCC10,121.1376,22,1,,,,,,,
