plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_objectid,pl_site,pl_comp10_30,pl_hectares,pl_plotid,smpl_site,smpl_tcc30_nam,smpl_plotid,smpl_area,smpl_sampleid,Is this area forest?,"If area is partially forest, estimate percentage (10, 15, 20)",What is your confidence level in your answer?,Notes on why this area may have been a site of disagreement or is mislabeled?,Would this plot be a good candidate example for any of the following data issues?,Which of the following data issues describes it?,Indicate other issues
140855258,569070494,122.19982451016428,7.174196616782826,tgisorena@yahoo.com,false,2021-07-08 12:25,263.1 secs,Bing Maps,,POINT(122.199824510164 7.17419661678283),16,ZAMBOANGA CITY,F10,28.1619,0,ZAMBOANGA CITY,Forest_Annual Crop,0,11.1346,1,No,1,Very high,Coconut can be picked up as trees,Yes,Mis-classification,
140855259,569070495,122.06016507452546,7.139519585428059,tgisorena@yahoo.com,false,2021-07-08 12:26,77.1 secs,Bing Maps,,POINT(122.060165074525 7.13951958542806),16,ZAMBOANGA CITY,F10,54.9465,1,ZAMBOANGA CITY,Forest_Brush/Shrubs,1,49.9239,1,No,0,Very high,none,Yes,Mis-classification,
140855260,569070496,122.27444781944854,7.335853997480631,tgisorena@yahoo.com,false,2021-07-08 12:27,70.9 secs,Bing Maps,,POINT(122.274447819449 7.33585399748063),16,ZAMBOANGA CITY,F10,23.1252,2,ZAMBOANGA CITY,Forest_Brush/Shrubs,2,16.4743,1,Partially,5,High,none,Yes,Mis-classification,
140855261,569070509,122.25261331772924,7.4477232708712755,,,,,,,POINT(122.252613317729 7.44772327087128),16,ZAMBOANGA CITY,F10,36.1399,15,ZAMBOANGA CITY,Forest_Brush/Shrubs,15,74.277,1,,,,,,,
140855262,569070497,122.2232189688692,7.437321155110404,tgisorena@yahoo.com,false,2021-07-08 12:32,308.3 secs,Bing Maps,,POINT(122.223218968869 7.4373211551104),16,ZAMBOANGA CITY,F10,85.7953,3,ZAMBOANGA CITY,Forest_Brush/Shrubs,3,51.3208,1,No,5,Medium,could be an example of brushland,No,,
140855263,569070498,122.0013269283199,7.034700598394272,tgisorena@yahoo.com,false,2021-07-08 12:51,1102.7 secs,Bing Maps,,POINT(122.00132692832 7.03470059839427),16,ZAMBOANGA CITY,F10,83.3625,4,ZAMBOANGA CITY,Forest_Brush/Shrubs,4,131.0192,1,No,5,High,Coconuts and mango are picked up as trees,No,,
140855264,569070499,121.94642890223824,7.049364218414263,tgisorena@yahoo.com,false,2021-07-08 12:53,127.2 secs,Bing Maps,,POINT(121.946428902238 7.04936421841426),16,ZAMBOANGA CITY,F10,97.9417,5,ZAMBOANGA CITY,Forest_Brush/Shrubs,5,193.3011,1,No,5,Very high,Coconuts are pick up as ttrees,Yes,Mis-classification,
140855265,569070500,122.0034414753446,7.074250900119581,,,,,,,POINT(122.003441475345 7.07425090011958),16,ZAMBOANGA CITY,F10,44.7992,6,ZAMBOANGA CITY,Forest_Brush/Shrubs,6,122.485,1,,,,,,,
140855266,569070510,122.17446005322736,7.350087202703583,,,,,,,POINT(122.174460053227 7.35008720270358),16,ZAMBOANGA CITY,F10,35.464,16,ZAMBOANGA CITY,Forest_Brush/Shrubs,16,54.7131,1,,,,,,,
140855267,569070501,122.01558246650673,7.136169145274454,,,,,,,POINT(122.015582466507 7.13616914527445),16,ZAMBOANGA CITY,F10,83.0283,7,ZAMBOANGA CITY,Forest_Brush/Shrubs,7,102.4374,1,,,,,,,
