plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_plotid,pl_site,pl_comp10_30,pl_area,smpl_plotid,smpl_site,smpl_comp10_30,smpl_area,smpl_sampleid,Is this area forest?,"If area is partially forest, estimate percentage (10, 15, 20)",What is your confidence level in your answer?,Notes on why this area may have been a site of disagreement or is mislabeled?,Would this plot be a good candidate example for any of the following data issues?,Which of the following data issues describes it?,Indicate other issues
140843472,568824324,121.90390716867115,17.55696673252255,,,,,,,POINT(121.903907168671 17.5569667325226),0,CAGAYAN,F10,455.1004,0,CAGAYAN,F10,455.1004,1,,,,,,,
140843473,568824325,122.08596918206425,17.640058440377903,,,,,,,POINT(122.085969182064 17.6400584403779),1,CAGAYAN,F10,161.9119,1,CAGAYAN,F10,161.9119,1,,,,,,,
140843474,568824353,121.53248885529204,18.255514604220433,,,,,,,POINT(121.532488855292 18.2555146042204),29,CAGAYAN,F10,20.26,29,CAGAYAN,F10,20.26,1,,,,,,,
140843475,568824354,122.08291829173068,17.698062868733196,,,,,,,POINT(122.082918291731 17.6980628687332),30,CAGAYAN,F30,4.7671,30,CAGAYAN,F30,4.7671,1,,,,,,,
140843476,568824355,122.10468295502552,17.735625248550964,,,,,,,POINT(122.104682955026 17.735625248551),31,CAGAYAN,F30,2.3464,31,CAGAYAN,F30,2.3464,1,,,,,,,
140843477,568824326,121.93843953481245,17.714573465068455,,,,,,,POINT(121.938439534812 17.7145734650685),2,CAGAYAN,F10,151.5187,2,CAGAYAN,F10,151.5187,1,,,,,,,
140843478,568824356,122.1010955707858,18.13601963493023,,,,,,,POINT(122.101095570786 18.1360196349302),32,CAGAYAN,F30,3.9508,32,CAGAYAN,F30,3.9508,1,,,,,,,
140843479,568824357,122.09593399671198,18.14168097752275,,,,,,,POINT(122.095933996712 18.1416809775227),33,CAGAYAN,F30,17.5585,33,CAGAYAN,F30,17.5585,1,,,,,,,
140843480,568824327,121.80204879131757,17.751497679969972,,,,,,,POINT(121.802048791318 17.75149767997),3,CAGAYAN,F10,149.6679,3,CAGAYAN,F10,149.6679,1,,,,,,,
140843481,568824332,121.37928361592347,17.820013427956656,,,,,,,POINT(121.379283615923 17.8200134279567),8,CAGAYAN,F10,158.8273,8,CAGAYAN,F10,158.8273,1,,,,,,,
140843482,568824333,121.96183677933477,17.82915471582732,,,,,,,POINT(121.961836779335 17.8291547158273),9,CAGAYAN,F10,297.42,9,CAGAYAN,F10,297.42,1,,,,,,,
140843483,568824328,121.4093114596468,17.772709015432373,,,,,,,POINT(121.409311459647 17.7727090154324),4,CAGAYAN,F10,121.9719,4,CAGAYAN,F10,121.9719,1,,,,,,,
140843484,568824339,121.485640727512,17.98626073187873,,,,,,,POINT(121.485640727512 17.9862607318787),15,CAGAYAN,F10,85.7067,15,CAGAYAN,F10,85.7067,1,,,,,,,
140843485,568824340,121.42990722860043,17.95491469825458,,,,,,,POINT(121.4299072286 17.9549146982546),16,CAGAYAN,F10,254.3193,16,CAGAYAN,F10,254.3193,1,,,,,,,
140843486,568824329,121.96063259790556,17.780611381126448,,,,,,,POINT(121.960632597906 17.7806113811264),5,CAGAYAN,F10,104.6159,5,CAGAYAN,F10,104.6159,1,,,,,,,
140843487,568824330,122.13399685682015,17.775524240952674,,,,,,,POINT(122.13399685682 17.7755242409527),6,CAGAYAN,F10,200.2016,6,CAGAYAN,F10,200.2016,1,,,,,,,
140843488,568824343,121.45143376813407,17.99585537110542,,,,,,,POINT(121.451433768134 17.9958553711054),19,CAGAYAN,F10,104.1641,19,CAGAYAN,F10,104.1641,1,,,,,,,
140843489,568824331,121.9124089209259,17.788641810896728,,,,,,,POINT(121.912408920926 17.7886418108967),7,CAGAYAN,F10,161.2834,7,CAGAYAN,F10,161.2834,1,,,,,,,
140843490,568824348,122.1150197784422,17.727192983583414,,,,,,,POINT(122.115019778442 17.7271929835834),24,CAGAYAN,F10,99.5782,24,CAGAYAN,F10,99.5782,1,,,,,,,
140843491,568824334,121.41465932195527,17.84088793936114,,,,,,,POINT(121.414659321955 17.8408879393611),10,CAGAYAN,F10,99.5642,10,CAGAYAN,F10,99.5642,1,,,,,,,
140843492,568824349,122.07151143281993,17.720305888246337,,,,,,,POINT(122.07151143282 17.7203058882463),25,CAGAYAN,F10,64.9717,25,CAGAYAN,F10,64.9717,1,,,,,,,
140843493,568824358,122.0896552031794,18.151320560855996,,,,,,,POINT(122.089655203179 18.151320560856),34,CAGAYAN,F30,4.9015,34,CAGAYAN,F30,4.9015,1,,,,,,,
140843494,568824335,121.8215082125118,17.867690599371514,,,,,,,POINT(121.821508212512 17.8676905993715),11,CAGAYAN,F10,171.7023,11,CAGAYAN,F10,171.7023,1,,,,,,,
140843495,568824336,121.66463505882952,17.928254013090303,,,,,,,POINT(121.66463505883 17.9282540130903),12,CAGAYAN,F10,123.3078,12,CAGAYAN,F10,123.3078,1,,,,,,,
140843496,568824337,121.4595978519547,17.9558846818975,,,,,,,POINT(121.459597851955 17.9558846818975),13,CAGAYAN,F10,333.3671,13,CAGAYAN,F10,333.3671,1,,,,,,,
140843497,568824338,121.64060734500524,17.97601241367472,,,,,,,POINT(121.640607345005 17.9760124136747),14,CAGAYAN,F10,331.3037,14,CAGAYAN,F10,331.3037,1,,,,,,,
140843498,568824351,121.92475188900728,18.196155454027455,,,,,,,POINT(121.924751889007 18.1961554540275),27,CAGAYAN,F10,54.7124,27,CAGAYAN,F10,54.7124,1,,,,,,,
140843499,568824341,121.78804109976903,17.992728594879075,,,,,,,POINT(121.788041099769 17.9927285948791),17,CAGAYAN,F10,297.6238,17,CAGAYAN,F10,297.6238,1,,,,,,,
140843500,568824342,121.52719770392375,17.990797736717017,,,,,,,POINT(121.527197703924 17.990797736717),18,CAGAYAN,F10,303.2518,18,CAGAYAN,F10,303.2518,1,,,,,,,
